ID,Platform,Sender_Type,Content_Type,Harsh_Roads,Villages_Temples,Rivers_Fields,Culture,Locals,Tour_Group,Eating_Partying
1,Instagram,Agency,Infographic,Yes,No,Yes,No,No,Yes,No
2,Instagram,Tourist,Photo_dump,No,Yes,Yes,Yes,Yes,Yes,Yes
3,Instagram,Agency,Infographic,No,No,Yes,No,No,Yes,Yes
4,Instagram,Agency,Photo_dump,No,No,No,No,No,Yes,No
5,Instagram,Tourist,Photo_dump,No,No,Yes,No,No,No,No
6,Instagram,Tourist,Photo_dump,No,No,No,No,No,Yes,No
7,Instagram,Tourist,Photo_dump,No,No,Yes,No,No,No,No
8,Instagram,Agency,Infographic,No,No,Yes,No,Yes,Yes,No
9,Instagram,Tourist,Photo_dump,No,Yes,Yes,No,No,Yes,Yes
10,Instagram,Agency,Infographic,Yes,No,No,No,No,Yes,No
11,Instagram,Agency,Infographic,Yes,No,Yes,No,No,Yes,No
12,Instagram,Tourist,Photo_dump,No,No,Yes,Yes,No,Yes,No
13,Instagram,Agency,Photo_dump,No,No,Yes,No,No,No,No
14,Instagram,Tourist,Photo_dump,No,No,No,Yes,No,No,No
15,Instagram,Tourist,Photo_dump,No,Yes,Yes,Yes,No,No,No
16,Instagram,Tourist,Photo_dump,No,Yes,Yes,No,No,Yes,Yes
17,Instagram,Tourist,Photo_dump,Yes,Yes,Yes,No,Yes,Yes,No
18,Instagram,Tourist,Photo_dump,Yes,No,Yes,No,Yes,No,No
19,Instagram,Tourist,Photo_dump,No,Yes,Yes,No,Yes,Yes,No
20,Instagram,Agency,Infographic,No,No,Yes,No,No,Yes,Yes
21,Instagram,Tourist,Photo_dump,Yes,No,No,Yes,No,Yes,Yes
22,Instagram,Tourist,Photo_dump,Yes,No,No,No,No,Yes,Yes
23,Instagram,Agency,Advertisement,No,No,No,No,Yes,Yes,Yes
24,Instagram,Agency,Infographic,No,Yes,Yes,Yes,Yes,Yes,No
25,Instagram,Agency,Infographic,No,No,Yes,No,No,Yes,No
26,TikTok,Tourist,Photo_dump,No,Yes,Yes,No,Yes,No,Yes
27,TikTok,Tourist,Photo_dump,Yes,No,No,No,No,No,No
28,TikTok,Agency,Photo_dump,No,Yes,No,No,No,Yes,No
29,TikTok,Tourist,Photo_dump,Yes,No,No,No,No,No,No
30,TikTok,Agency,Advertisement,No,Yes,Yes,Yes,Yes,No,No
31,TikTok,Tourist,Short_vid,No,No,Yes,No,No,Yes,No
32,TikTok,Agency,Short_vid,No,No,No,No,No,Yes,No
33,TikTok,Tourist,Short_vid,No,No,No,No,No,Yes,No
34,TikTok,Agency,Short_vid,No,No,Yes,No,No,No,No
35,TikTok,Agency,Advertisement,Yes,No,Yes,No,No,No,No
36,TikTok,Tourist,Short_vid,Yes,Yes,No,No,No,No,No
37,TikTok,Tourist,Infographic,No,No,No,No,No,No,Yes
38,TikTok,Tourist,Short_vid,Yes,Yes,Yes,No,Yes,No,No
39,TikTok,Agency,Infographic,No,No,Yes,Yes,Yes,Yes,Yes
40,TikTok,Tourist,Short_vid,No,No,No,No,No,No,No
41,TikTok,Agency,Short_vid,No,No,Yes,No,No,No,No
42,TikTok,Tourist,Short_vid,No,No,Yes,No,No,No,No
43,TikTok,Agency,Short_vid,No,Yes,Yes,Yes,Yes,No,No
44,TikTok,Tourist,Short_vid,No,No,No,No,No,Yes,No
45,TikTok,Tourist,Short_vid,No,No,No,No,No,Yes,Yes
46,TikTok,Tourist,Short_vid,No,No,No,No,No,No,No
47,TikTok,Tourist,Short_vid,No,Yes,Yes,No,Yes,No,No
