"ID","class"
1,"B: the ride"
2,"A: place and people"
3,"B: the ride"
4,"B: the ride"
5,"B: the ride"
6,"B: the ride"
7,"B: the ride"
8,"B: the ride"
9,"B: the ride"
10,"B: the ride"
11,"B: the ride"
12,"B: the ride"
13,"B: the ride"
14,"B: the ride"
15,"A: place and people"
16,"B: the ride"
17,"A: place and people"
18,"B: the ride"
19,"A: place and people"
20,"B: the ride"
21,"B: the ride"
22,"B: the ride"
23,"B: the ride"
24,"A: place and people"
25,"B: the ride"
26,"A: place and people"
27,"B: the ride"
28,"B: the ride"
29,"B: the ride"
30,"A: place and people"
31,"B: the ride"
32,"B: the ride"
33,"B: the ride"
34,"B: the ride"
35,"B: the ride"
36,"B: the ride"
37,"B: the ride"
38,"A: place and people"
39,"A: place and people"
40,"B: the ride"
41,"B: the ride"
42,"B: the ride"
43,"A: place and people"
44,"B: the ride"
45,"B: the ride"
46,"B: the ride"
47,"A: place and people"
48,"B: the ride"
49,"B: the ride"
50,"B: the ride"
51,"A: place and people"
52,"A: place and people"
53,"A: place and people"
54,"A: place and people"
55,"B: the ride"
56,"A: place and people"
57,"A: place and people"
58,"B: the ride"
59,"B: the ride"
60,"A: place and people"
61,"A: place and people"
62,"B: the ride"
63,"B: the ride"
64,"A: place and people"
65,"B: the ride"
66,"A: place and people"
67,"A: place and people"
68,"A: place and people"
69,"B: the ride"
70,"B: the ride"
71,"A: place and people"
72,"B: the ride"
73,"A: place and people"
74,"A: place and people"
75,"A: place and people"
76,"B: the ride"
77,"B: the ride"
78,"B: the ride"
79,"B: the ride"
80,"B: the ride"
81,"B: the ride"
82,"A: place and people"
83,"B: the ride"
84,"B: the ride"
85,"B: the ride"
86,"B: the ride"
87,"B: the ride"
88,"A: place and people"
89,"B: the ride"
90,"B: the ride"
91,"A: place and people"
92,"B: the ride"
93,"B: the ride"
94,"A: place and people"
95,"B: the ride"
96,"B: the ride"
97,"A: place and people"
98,"A: place and people"
99,"B: the ride"
100,"B: the ride"
